superficie_afectada_por_incendios_total_anio;superficie_afectada_por_incendios_total _hectareas;superficie_afectada_por_incendios_bosque_nativo_hectareas;superficie_afectada_por_incendios_bosque_cultivado_hectareas;superficie_afectada_por_incendios_arbustal_hectareas;superficie_afectada_por_incendios_pastizal_hectareas;superficie_afectada_por_incendios_sin_determinar_hectareas
1993;  -    ; -   ; -   ; -   ; -   ; -   
1994;304,48;113,7; -   ; -   ;3,78;187
1995;33,51;31,26; -   ; -   ;2,25; -   
1996;9.478,64;1.306,61;2,25; -   ;8.169,78; -   
1997;7.934,44;1.735,56;11;39,14;6.148,74; -   
1998;4.806,98;2.250,78; -   ;3,15;2.553,05; -   
1999;9.894,62;4.914,10;0,02;2.557,89;2.422,61; -   
2000;3.159,84;135,09; -   ;16,25;3.008,50; -   
2001;2.471,95;213,75; -   ;210,7;2.047,50; -   
2002;7.983,86;7.777,00;11,5;53,85;141,51; -   
2003;6.598,21;23,51; -   ;6.543,09;31,6; -   
2004;6.139,91;2.552,51;903,5;8;2.675,90; -   
2005;1.798,13;13,62;0,25;481,26;1.303,00; -   
2006;10.761,24;1,13; -   ;192,01;10.568,11; -   
2007;5.438,81;21,99;7;3.805,91;1.603,91; -   
2008;7.480,23;4.484,19;10,05;1.667,64;1.318,37; -   
2009;10.639,17;3.302,40;34,71;248,04;7.054,02; -   
2010;3.925,94;2.967,27;2;925,22;31,45; -   
2011;258,68;3,21;5;156,38;94,1; -   
2012;24;0,57;2,9;0,87;19,67; -   
2013;7.130,96;2.619,15; -   ;357,26;4.154,55; -   
2014;33.160,59;2.709,98; -   ;3.381,00;27.069,61; -   
2015;21.447,40;1.750,48; -   ;1.110,09;18.586,83; -   
2016;29.205,77;1.018,32; -   ;997,78;21.570,34;5.619,34
2017;19.783,59;45,31;0,04;519,06;19.219,17; -   
2018;33.281,00;72,07;30;15.094,69;18.084,54; -   
2019;2.378,18;64,5;0;22;2291,6825; -   
